week,home_team,away_team,game_id,proposition_id,correct_outcome_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick
4,CHI,DEN,401547444,,,28,31,,,,,,
4,CLE,BAL,401547445,,,3,28,,,,,,
4,TEN,CIN,401547452,,,27,3,,,,,,
4,IND,LAR,401547449,,,23,29,,,,,,
4,NO,TB,401547450,,,9,26,,,,,,
4,PHI,WSH,401547451,,,34,31,,,,,,
4,CAR,MIN,401547448,,,13,21,,,,,,
4,HOU,PIT,401547446,,,30,6,,,,,,
4,LAC,LV,401547447,,,24,17,,,,,,
4,DAL,NE,401547453,,,38,3,,,,,,
4,SF,ARI,401547454,,,35,16,,,,,,
4,NYJ,KC,401547455,,,20,23,,,,,,
4,NYG,SEA,401547456,,,3,24,,,,,,
5,WSH,CHI,401547457,,,20,40,,,,,,
5,BUF,JAX,401547228,,,20,25,,,,,,
5,ATL,HOU,401547463,,,21,19,,,,,,
5,DET,CAR,401547464,,,42,24,,,,,,
5,IND,TEN,401547458,,,23,16,,,,,,
5,MIA,NYG,401547465,,,31,16,,,,,,
5,NE,NO,401547459,,,0,34,,,,,,
5,PIT,BAL,401547460,,,17,10,,,,,,
5,LAR,PHI,401547467,,,14,23,,,,,,
5,ARI,CIN,401547466,,,20,34,,,,,,
5,DEN,NYJ,401547461,,,21,31,,,,,,
5,MIN,KC,401547462,,,20,27,,,,,,
5,SF,DAL,401547354,,,42,10,,,,,,
5,LV,GB,401547468,,,17,13,,,,,,
6,KC,DEN,401547469,,,19,8,,,,,,
6,TEN,BAL,401547229,,,16,24,,,,,,
6,ATL,WSH,401547470,,,16,24,,,,,,
6,CHI,MIN,401547475,,,13,19,,,,,,
6,CIN,SEA,401547471,,,17,13,,,,,,
6,CLE,SF,401547476,,,19,17,,,,,,
6,MIA,CAR,401547473,,,42,21,,,,,,
6,JAX,IND,401547472,,,37,20,,,,,,
6,HOU,NO,401547477,,,20,13,,,,,,
6,LV,NE,401547474,,,21,17,,,,,,
6,LAR,ARI,401547479,,,26,9,,,,,,
6,NYJ,PHI,401547480,,,20,14,,,,,,
6,TB,DET,401547478,,,6,20,,,,,,
6,BUF,NYG,401547481,,,14,9,,,,,,
6,LAC,DAL,401547482,,,17,20,,,,,,
7,NO,JAX,401547483,,,24,31,,,,,,
7,CHI,LV,401547490,,,30,12,,,,,,
7,IND,CLE,401547484,,,38,39,,,,,,
7,NE,BUF,401547485,,,29,25,,,,,,
7,NYG,WSH,401547486,,,14,7,,,,,,
7,TB,ATL,401547491,,,13,16,,,,,,
7,BAL,DET,401547489,,,38,6,,,,,,
7,LAR,PIT,401547492,,,17,24,,,,,,
7,SEA,ARI,401547493,,,20,10,,,,,,
7,DEN,GB,401547487,,,19,17,,,,,,
7,KC,LAC,401547488,,,31,17,,,,,,
7,PHI,MIA,401547494,,,31,17,,,,,,
7,MIN,SF,401547495,,,22,17,,,,,,
8,BUF,TB,401547496,,,24,18,,,,,,
8,DAL,LAR,401547505,,,43,20,,,,,,
8,GB,MIN,401547506,,,10,24,,,,,,
8,TEN,ATL,401547500,,,28,23,,,,,,
8,IND,NO,401547507,,,27,38,,,,,,
8,MIA,NE,401547497,,,31,17,,,,,,
8,NYG,NYJ,401547498,,,10,13,,,,,,
8,PIT,JAX,401547499,,,10,20,,,,,,
8,WSH,PHI,401547508,,,31,38,,,,,,
8,CAR,HOU,401547504,,,15,13,,,,,,
8,SEA,CLE,401547509,,,24,20,,,,,,
8,DEN,KC,401547502,,,24,9,,,,,,
8,ARI,BAL,401547501,,,24,31,,,,,,
8,SF,CIN,401547503,,,17,31,,,,,,
8,LAC,CHI,401547510,,,30,13,,,,,,
8,DET,LV,401547511,,,26,14,,,,,,
9,PIT,TEN,401547512,,,20,16,,,,,,
9,KC,MIA,401547230,,,21,14,,,,,,
9,ATL,MIN,401547518,,,28,31,,,,,,
9,CLE,ARI,401547514,,,27,0,,,,,,
9,GB,LAR,401547519,,,20,3,,,,,,
9,NE,WSH,401547520,,,17,20,,,,,,
9,NO,CHI,401547516,,,24,17,,,,,,
9,BAL,SEA,401547513,,,37,3,,,,,,
9,HOU,TB,401547515,,,39,37,,,,,,
9,CAR,IND,401547517,,,13,27,,,,,,
9,LV,NYG,401547521,,,30,6,,,,,,
9,PHI,DAL,401547522,,,28,23,,,,,,
9,CIN,BUF,401547523,,,24,18,,,,,,
9,NYJ,LAC,401547524,,,6,27,,,,,,
10,CHI,CAR,401547525,,,16,13,,,,,,
10,NE,IND,401547231,,,6,10,,,,,,
10,CIN,HOU,401547526,,,27,30,,,,,,
10,MIN,NO,401547533,,,27,19,,,,,,
10,PIT,GB,401547527,,,23,19,,,,,,
10,TB,TEN,401547528,,,20,6,,,,,,
10,JAX,SF,401547532,,,3,34,,,,,,
10,BAL,CLE,401547531,,,31,33,,,,,,
10,ARI,ATL,401547529,,,25,23,,,,,,
10,LAC,DET,401547530,,,38,41,,,,,,
10,DAL,NYG,401547534,,,49,17,,,,,,
10,SEA,WSH,401547535,,,29,26,,,,,,
10,LV,NYJ,401547536,,,16,12,,,,,,
10,BUF,DEN,401547537,,,22,24,,,,,,
11,BAL,CIN,401547538,,,34,20,,,,,,
11,CLE,PIT,401547539,,,13,10,,,,,,
11,DET,CHI,401547546,,,31,26,,,,,,
11,GB,LAC,401547547,,,23,20,,,,,,
11,MIA,LV,401547542,,,20,13,,,,,,
11,WSH,NYG,401547548,,,19,31,,,,,,
11,CAR,DAL,401547545,,,10,33,,,,,,
11,JAX,TEN,401547541,,,34,14,,,,,,
11,HOU,ARI,401547540,,,21,16,,,,,,
11,SF,TB,401547549,,,27,14,,,,,,
11,BUF,NYJ,401547543,,,32,6,,,,,,
11,LAR,SEA,401547544,,,17,16,,,,,,
11,DEN,MIN,401547550,,,21,20,,,,,,
11,KC,PHI,401547345,,,17,21,,,,,,
12,DET,GB,401547552,,,22,29,,,,,,
12,DAL,WSH,401547551,,,45,10,,,,,,
12,SEA,SF,401547553,,,13,31,,,,,,
12,NYJ,MIA,401547242,,,13,34,,,,,,
12,ATL,NO,401547559,,,24,15,,,,,,
12,CIN,PIT,401547554,,,10,16,,,,,,
12,TEN,CAR,401547561,,,17,10,,,,,,
12,IND,TB,401547556,,,27,20,,,,,,
12,NYG,NE,401547560,,,10,7,,,,,,
12,HOU,JAX,401547555,,,21,24,,,,,,
12,DEN,CLE,401547563,,,29,12,,,,,,
12,ARI,LAR,401547562,,,14,37,,,,,,
12,LV,KC,401547557,,,17,31,,,,,,
12,PHI,BUF,401547558,,,37,34,,,,,,
12,LAC,BAL,401547564,,,10,20,,,,,,
12,MIN,CHI,401547565,,,10,12,,,,,,
13,DAL,SEA,401547566,,,41,35,,,,,,
13,TEN,IND,401547570,,,28,31,,,,,,
13,NE,LAC,401547567,,,0,6,,,,,,
13,NO,DET,401547572,,,28,33,,,,,,
13,NYJ,ATL,401547573,,,8,13,,,,,,
13,PIT,ARI,401547568,,,10,24,,,,,,
13,WSH,MIA,401547574,,,15,45,,,,,,
13,HOU,DEN,401547571,,,22,17,,,,,,
