proposition_id,home_line,correct_outcome_key,incorrect_outcome_key,prop_name,game_id
1ca53b60-138a-11ef-9421-4b5b2bd2cbe8,,,KC,LV @ KC,401671806
1bb62070-138a-11ef-9421-4b5b2bd2cbe8,,,BAL,DEN @ BAL,401671623
1cf0ea60-138a-11ef-99c0-11d412694269,,,DAL,CIN @ DAL,401671690
1bef0ac0-138a-11ef-95b6-af3fb566f45b,,,TB,SF @ TB,401671742
1a8e6950-138a-11ef-9421-4b5b2bd2cbe8,4.5,CIN,CAR,CIN @ CAR,401671745
1a1f2cc0-138a-11ef-9421-4b5b2bd2cbe8,3.5,NYJ,TEN,NYJ @ TEN,401671636
1a90b340-138a-11ef-9421-4b5b2bd2cbe8,0.5,TEN,MIA,TEN @ MIA,401671683
1c6d8990-138a-11ef-99c0-11d412694269,,,MIA,NE @ MIA,401671847
1d9d5700-138a-11ef-99c0-11d412694269,,,TB,CAR @ TB,401671653
1bb38860-138a-11ef-9421-4b5b2bd2cbe8,,,ATL,DAL @ ATL,401671728
1b059520-138a-11ef-95b6-af3fb566f45b,3.5,CIN,NYG,CIN @ NYG,401671791
1a577ad0-138a-11ef-99c0-11d412694269,-5.5,CAR,LV,CAR @ LV,401671658
1bedab30-138a-11ef-95b6-af3fb566f45b,,,CAR,NYG @ CAR,401671803
1acc35a0-138a-11ef-99c0-11d412694269,-2.5,JAX,IND,IND @ JAX,401671633
1c6c2a00-138a-11ef-99c0-11d412694269,,,CLE,PIT @ CLE,401671875
1ceec780-138a-11ef-99c0-11d412694269,,,PIT,CLE @ PIT,401671631
1ca7fa80-138a-11ef-9421-4b5b2bd2cbe8,,,NO,LAR @ NO,401671753
1a8ce2b0-138a-11ef-9421-4b5b2bd2cbe8,-2.5,CHI,LAR,LAR @ CHI,401671871
1d9d08e0-138a-11ef-99c0-11d412694269,,,NO,LV @ NO,401671738
1b7742b0-138a-11ef-95b6-af3fb566f45b,-7.5,,LAC,NO @ LAC,401671750
1ca5b090-138a-11ef-9421-4b5b2bd2cbe8,,,ATL,LAC @ ATL,401671649
1d27d8e0-138a-11ef-95b6-af3fb566f45b,,,CAR,DAL @ CAR,401671731
1dd52fe0-138a-11ef-9421-4b5b2bd2cbe8,,,DET,MIN @ DET,401671843
1acb7250-138a-11ef-99c0-11d412694269,2.5,BAL,CIN,BAL @ CIN,401671626
1b3b9940-138a-11ef-99c0-11d412694269,-3.5,IND,MIA,MIA @ IND,401671864
1ca848a0-138a-11ef-9421-4b5b2bd2cbe8,,,CAR,TB @ CAR,401671752
1b793e80-138a-11ef-95b6-af3fb566f45b,-6.5,,PIT,NYG @ PIT,401671685
1c7096d0-138a-11ef-99c0-11d412694269,,,LAC,BAL @ LAC,401671689
1a1d7f10-138a-11ef-9421-4b5b2bd2cbe8,-1.5,BUF,MIA,BUF @ MIA,401671807
1a201720-138a-11ef-9421-4b5b2bd2cbe8,6.5,LAC,CAR,LAC @ CAR,401671652
19d1f720-138a-11ef-95b6-af3fb566f45b,-1.5,PHI,GB,GB @ PHI,401671805
1b745c80-138a-11ef-95b6-af3fb566f45b,2.5,LAR,MIN,MIN @ LAR,401671817
1dd779d0-138a-11ef-9421-4b5b2bd2cbe8,,,NE,BUF @ NE,401671831
1c393320-138a-11ef-9421-4b5b2bd2cbe8,,,BUF,KC @ BUF,401671665
1a8c9490-138a-11ef-9421-4b5b2bd2cbe8,-1.5,ATL,NO,NO @ ATL,401671727
1a1fc900-138a-11ef-9421-4b5b2bd2cbe8,-2.5,WSH,NYG,NYG @ WSH,401671716
1d9cbac0-138a-11ef-99c0-11d412694269,,,MIN,GB @ MIN,401671725
1b76f490-138a-11ef-95b6-af3fb566f45b,-5.5,,HOU,IND @ HOU,401671856
1dd4e1c0-138a-11ef-9421-4b5b2bd2cbe8,,,DEN,KC @ DEN,401671838
1ac9ebb0-138a-11ef-99c0-11d412694269,-1.5,ATL,TB,TB @ ATL,401671815
1ca5feb0-138a-11ef-9421-4b5b2bd2cbe8,,,CIN,PIT @ CIN,401671627
1d278ac0-138a-11ef-95b6-af3fb566f45b,,,NYG,BAL @ NYG,401671639
1b04f8e0-138a-11ef-95b6-af3fb566f45b,3.5,DET,DAL,DET @ DAL,401671764
1ca896c0-138a-11ef-9421-4b5b2bd2cbe8,,,BAL,PHI @ BAL,401671666
1d5e5230-138a-11ef-9421-4b5b2bd2cbe8,,,NYJ,LAR @ NYJ,401671621
1a8fc8e0-138a-11ef-9421-4b5b2bd2cbe8,-1.5,LV,CLE,CLE @ LV,401671672
