week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
4,MIA,NYJ,401772813,2555d6b0-31cb-11f0-8209-f386d3264813,not_decided,,,,1759187700000,MIA DEFAULT,MIA DEFAULT,MIA DEFAULT,,,
5,LAR,SF,401772939,259e5160-31cb-11f0-a687-2b56ff546787,not_decided,,,,1759450500000,LAR DEFAULT,LAR DEFAULT,LAR DEFAULT,,,
5,CLE,MIN,401772633,259f62d0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1759671000000,CLE DEFAULT,CLE DEFAULT,CLE DEFAULT,,,
5,NO,NYG,401772744,259fff10-31cb-11f0-a687-2b56ff546787,not_decided,,,,1759683600000,NO DEFAULT,NO DEFAULT,NO DEFAULT,,,
5,PHI,DEN,401772745,25a09b50-31cb-11f0-a687-2b56ff546787,not_decided,,,,1759683600000,PHI DEFAULT,PHI DEFAULT,PHI DEFAULT,,,
5,BAL,HOU,401772743,25a11080-31cb-11f0-a687-2b56ff546787,not_decided,,,,1759683600000,BAL DEFAULT,BAL DEFAULT,BAL DEFAULT,,,
5,SEA,TB,401772746,25a185b0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1759694700000,SEA DEFAULT,SEA DEFAULT,SEA DEFAULT,,,
5,LAC,WSH,401772853,25a221f0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1759695900000,LAC DEFAULT,LAC DEFAULT,LAC DEFAULT,,,
5,JAX,KC,401772814,25a29720-31cb-11f0-a687-2b56ff546787,not_decided,,,,1759796100000,JAX DEFAULT,JAX DEFAULT,JAX DEFAULT,,,
6,NYG,PHI,401772940,25f1c890-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760055300000,NYG DEFAULT,NYG DEFAULT,NYG DEFAULT,,,
6,NYJ,DEN,401772634,25f264d0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760275800000,NYJ DEFAULT,NYJ DEFAULT,NYJ DEFAULT,,,
6,MIA,LAC,401772750,25f32820-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760288400000,MIA DEFAULT,MIA DEFAULT,MIA DEFAULT,,,
6,TB,SF,401772749,25f39d50-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760288400000,TB DEFAULT,TB DEFAULT,TB DEFAULT,,,
6,JAX,SEA,401772857,25f43990-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760288400000,JAX DEFAULT,JAX DEFAULT,JAX DEFAULT,,,
6,LV,TEN,401772859,25f4d5d0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760299500000,LV DEFAULT,LV DEFAULT,LV DEFAULT,,,
6,NO,NE,401772751,25f54b00-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760300700000,NO DEFAULT,NO DEFAULT,NO DEFAULT,,,
6,ATL,BUF,401772815,25f5c030-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760397300000,ATL DEFAULT,ATL DEFAULT,ATL DEFAULT,,,
7,CIN,PIT,401772941,2638e3b0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760660100000,CIN DEFAULT,CIN DEFAULT,CIN DEFAULT,,,
7,JAX,LAR,401772635,2639a700-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760880600000,JAX DEFAULT,JAX DEFAULT,JAX DEFAULT,,,
7,CLE,MIA,401772754,263a1c30-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760893200000,CLE DEFAULT,CLE DEFAULT,CLE DEFAULT,,,
7,KC,LV,401772753,263a9160-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760893200000,KC DEFAULT,KC DEFAULT,KC DEFAULT,,,
7,NYJ,CAR,401772860,263b0690-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760893200000,NYJ DEFAULT,NYJ DEFAULT,NYJ DEFAULT,,,
7,LAC,IND,401772756,263b7bc0-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760904300000,LAC DEFAULT,LAC DEFAULT,LAC DEFAULT,,,
7,ARI,GB,401772863,263c1800-31cb-11f0-a687-2b56ff546787,not_decided,,,,1760905500000,ARI DEFAULT,ARI DEFAULT,ARI DEFAULT,,,
7,DET,TB,401772816,263c8d30-31cb-11f0-a687-2b56ff546787,not_decided,,,,1761001200000,DET DEFAULT,DET DEFAULT,DET DEFAULT,,,
8,LAC,MIN,401772942,2692c380-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1761264900000,LAC DEFAULT,LAC DEFAULT,LAC DEFAULT,,,
8,ATL,MIA,401772760,26935fc0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1761498000000,ATL DEFAULT,ATL DEFAULT,ATL DEFAULT,,,
8,NE,CLE,401772868,2693d4f0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1761498000000,NE DEFAULT,NE DEFAULT,NE DEFAULT,,,
8,CAR,BUF,401772865,26944a20-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1761498000000,CAR DEFAULT,CAR DEFAULT,CAR DEFAULT,,,
8,HOU,SF,401772866,2694e660-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1761498000000,HOU DEFAULT,HOU DEFAULT,HOU DEFAULT,,,
8,DEN,DAL,401772762,26955b90-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1761510300000,DEN DEFAULT,DEN DEFAULT,DEN DEFAULT,,,
8,PIT,GB,401772925,26961ee0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1761524400000,PIT DEFAULT,PIT DEFAULT,PIT DEFAULT,,,
8,KC,WSH,401772817,269645f0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1761610500000,KC DEFAULT,KC DEFAULT,KC DEFAULT,,,
9,MIA,BAL,401772943,27047110-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1761869700000,MIA DEFAULT,MIA DEFAULT,MIA DEFAULT,,,
9,CIN,CHI,401772765,27050d50-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762106400000,CIN DEFAULT,CIN DEFAULT,CIN DEFAULT,,,
9,GB,CAR,401772872,2705a990-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762106400000,GB DEFAULT,GB DEFAULT,GB DEFAULT,,,
9,NE,ATL,401772763,27061ec0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762106400000,NE DEFAULT,NE DEFAULT,NE DEFAULT,,,
9,PIT,IND,401772766,270693f0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762106400000,PIT DEFAULT,PIT DEFAULT,PIT DEFAULT,,,
9,LV,JAX,401772873,27070920-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762117500000,LV DEFAULT,LV DEFAULT,LV DEFAULT,,,
9,BUF,KC,401772768,27077e50-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762118700000,BUF DEFAULT,BUF DEFAULT,BUF DEFAULT,,,
9,DAL,ARI,401772818,27081a90-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762218900000,DAL DEFAULT,DAL DEFAULT,DAL DEFAULT,,,
10,DEN,LV,401772944,27588480-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762478100000,DEN DEFAULT,DEN DEFAULT,DEN DEFAULT,,,
10,IND,ATL,401772636,275947d0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762698600000,IND DEFAULT,IND DEFAULT,IND DEFAULT,,,
10,MIA,BUF,401772771,2759bd00-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762711200000,MIA DEFAULT,MIA DEFAULT,MIA DEFAULT,,,
10,NYJ,CLE,401772769,275a3230-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762711200000,NYJ DEFAULT,NYJ DEFAULT,NYJ DEFAULT,,,
10,CAR,NO,401772877,275aa760-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762711200000,CAR DEFAULT,CAR DEFAULT,CAR DEFAULT,,,
10,SEA,ARI,401772773,275b43a0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762722300000,SEA DEFAULT,SEA DEFAULT,SEA DEFAULT,,,
10,WSH,DET,401772878,275b91c0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762723500000,WSH DEFAULT,WSH DEFAULT,WSH DEFAULT,,,
10,GB,PHI,401772630,275c2e00-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1762823700000,GB DEFAULT,GB DEFAULT,GB DEFAULT,,,
11,NE,NYJ,401772945,27c37b50-31cb-11f0-8209-f386d3264813,not_decided,,,,1763082900000,NE DEFAULT,NE DEFAULT,NE DEFAULT,,,
11,MIA,WSH,401772631,27c41790-31cb-11f0-8209-f386d3264813,not_decided,,,,1763303400000,MIA DEFAULT,MIA DEFAULT,MIA DEFAULT,,,
11,BUF,TB,401772776,27c4dae0-31cb-11f0-8209-f386d3264813,not_decided,,,,1763316000000,BUF DEFAULT,BUF DEFAULT,BUF DEFAULT,,,
11,MIN,CHI,401772880,27c55010-31cb-11f0-8209-f386d3264813,not_decided,,,,1763316000000,MIN DEFAULT,MIN DEFAULT,MIN DEFAULT,,,
11,PIT,CIN,401772774,27c5c540-31cb-11f0-8209-f386d3264813,not_decided,,,,1763316000000,PIT DEFAULT,PIT DEFAULT,PIT DEFAULT,,,
11,LAR,SEA,401772884,27c63a70-31cb-11f0-8209-f386d3264813,not_decided,,,,1763327100000,LAR DEFAULT,LAR DEFAULT,LAR DEFAULT,,,
11,CLE,BAL,401772777,27c6afa0-31cb-11f0-8209-f386d3264813,not_decided,,,,1763328300000,CLE DEFAULT,CLE DEFAULT,CLE DEFAULT,,,
11,PHI,DET,401772928,27c724d0-31cb-11f0-8209-f386d3264813,not_decided,,,,1763342400000,PHI DEFAULT,PHI DEFAULT,PHI DEFAULT,,,
11,LV,DAL,401772819,27c772f0-31cb-11f0-8209-f386d3264813,not_decided,,,,1763428500000,LV DEFAULT,LV DEFAULT,LV DEFAULT,,,
12,HOU,BUF,401772946,2835ec30-31cb-11f0-8209-f386d3264813,not_decided,,,,1763687700000,HOU DEFAULT,HOU DEFAULT,HOU DEFAULT,,,
