proposition_id,home_line,prop_name,game_id,outcome_1_id,outcome_1_abbr,outcome_2_id,outcome_2_abbr,prop_date
2b22abe0-31cb-11f0-8209-f386d3264813,,ARI @ LAR,401772955,2b22abe1-31cb-11f0-8209-f386d3264813,ARI,2b22abe2-31cb-11f0-8209-f386d3264813,LAR,1767502800000
24c381c0-31cb-11f0-8209-f386d3264813,,LAC @ LV,401772811,24c381c1-31cb-11f0-8209-f386d3264813,LAC,24c381c2-31cb-11f0-8209-f386d3264813,LV,1757988000000
29d396a0-31cb-11f0-a687-2b56ff546787,,WSH @ NYG,401772905,29d396a1-31cb-11f0-a687-2b56ff546787,WSH,29d396a2-31cb-11f0-a687-2b56ff546787,NYG,1765735200000
2707cc70-31cb-11f0-ab53-41ce0449976f,,SEA @ WSH,401772926,2707cc71-31cb-11f0-ab53-41ce0449976f,SEA,2707cc72-31cb-11f0-ab53-41ce0449976f,WSH,1762132800000
2695d0c0-31cb-11f0-ab53-41ce0449976f,,TEN @ IND,401772761,2695d0c1-31cb-11f0-ab53-41ce0449976f,TEN,2695d0c2-31cb-11f0-ab53-41ce0449976f,IND,1761510300000
2473db20-31cb-11f0-ab53-41ce0449976f,-0.5,MIA @ IND,401772719,2473db21-31cb-11f0-ab53-41ce0449976f,MIA,2473db22-31cb-11f0-ab53-41ce0449976f,IND,1757264400000
27c68890-31cb-11f0-8209-f386d3264813,,SF @ ARI,401772885,27c68891-31cb-11f0-8209-f386d3264813,SF,27c68892-31cb-11f0-8209-f386d3264813,ARI,1763327100000
2b240b70-31cb-11f0-8209-f386d3264813,,BAL @ PIT,401772960,2b240b71-31cb-11f0-8209-f386d3264813,BAL,2b240b72-31cb-11f0-8209-f386d3264813,PIT,1767502800000
275c2e00-31cb-11f0-ab53-41ce0449976f,,PHI @ GB,401772630,275c2e01-31cb-11f0-ab53-41ce0449976f,PHI,275c2e02-31cb-11f0-ab53-41ce0449976f,GB,1762823700000
25a15ea0-31cb-11f0-a687-2b56ff546787,,TEN @ ARI,401772747,25a15ea1-31cb-11f0-a687-2b56ff546787,TEN,25a15ea2-31cb-11f0-a687-2b56ff546787,ARI,1759694700000
247317d0-31cb-11f0-ab53-41ce0449976f,2.5,KC @ LAC,401772714,247317d1-31cb-11f0-ab53-41ce0449976f,KC,247317d2-31cb-11f0-ab53-41ce0449976f,LAC,1757116800000
2693d4f0-31cb-11f0-ab53-41ce0449976f,,CLE @ NE,401772868,2693d4f1-31cb-11f0-ab53-41ce0449976f,CLE,2693d4f2-31cb-11f0-ab53-41ce0449976f,NE,1761498000000
250b3920-31cb-11f0-8209-f386d3264813,,MIA @ BUF,401772937,250b3921-31cb-11f0-8209-f386d3264813,MIA,250b3922-31cb-11f0-8209-f386d3264813,BUF,1758240900000
27c61360-31cb-11f0-8209-f386d3264813,,LAC @ JAX,401772775,27c61361-31cb-11f0-8209-f386d3264813,LAC,27c61362-31cb-11f0-8209-f386d3264813,JAX,1763316000000
2aab0ae0-31cb-11f0-ab53-41ce0449976f,,NE @ NYJ,401772808,2aab0ae1-31cb-11f0-ab53-41ce0449976f,NE,2aab0ae2-31cb-11f0-ab53-41ce0449976f,NYJ,1766944800000
275a3230-31cb-11f0-ab53-41ce0449976f,,CLE @ NYJ,401772769,275a3231-31cb-11f0-ab53-41ce0449976f,CLE,275a3232-31cb-11f0-ab53-41ce0449976f,NYJ,1762711200000
2551df10-31cb-11f0-8209-f386d3264813,,SEA @ ARI,401772938,2551df11-31cb-11f0-8209-f386d3264813,SEA,2551df12-31cb-11f0-8209-f386d3264813,ARI,1758845700000
