week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
8,KC,WSH,401772817,,,,,,,,,,,,
9,MIA,BAL,401772943,,,,,,,,,,,,
9,CIN,CHI,401772765,,,,,,,,,,,,
9,DET,MIN,401772871,,,,,,,,,,,,
9,GB,CAR,401772872,,,,,,,,,,,,
9,TEN,LAC,401772764,,,,,,,,,,,,
9,NE,ATL,401772763,,,,,,,,,,,,
9,NYG,SF,401772767,,,,,,,,,,,,
9,PIT,IND,401772766,,,,,,,,,,,,
9,HOU,DEN,401772870,,,,,,,,,,,,
9,LV,JAX,401772873,,,,,,,,,,,,
9,LAR,NO,401772874,,,,,,,,,,,,
9,BUF,KC,401772768,,,,,,,,,,,,
9,WSH,SEA,401772926,,,,,,,,,,,,
9,DAL,ARI,401772818,,,,,,,,,,,,
10,DEN,LV,401772944,,,,,,,,,,,,
10,IND,ATL,401772636,,,,,,,,,,,,
10,CHI,NYG,401772875,,,,,,,,,,,,
10,MIA,BUF,401772771,,,,,,,,,,,,
10,MIN,BAL,401772876,,,,,,,,,,,,
10,NYJ,CLE,401772769,,,,,,,,,,,,
10,TB,NE,401772772,,,,,,,,,,,,
10,CAR,NO,401772877,,,,,,,,,,,,
10,HOU,JAX,401772770,,,,,,,,,,,,
10,SEA,ARI,401772773,,,,,,,,,,,,
10,SF,LAR,401772879,,,,,,,,,,,,
10,WSH,DET,401772878,,,,,,,,,,,,
10,LAC,PIT,401772927,,,,,,,,,,,,
10,GB,PHI,401772630,,,,,,,,,,,,
11,NE,NYJ,401772945,,,,,,,,,,,,
11,MIA,WSH,401772631,,,,,,,,,,,,
11,ATL,CAR,401772882,,,,,,,,,,,,
11,BUF,TB,401772776,,,,,,,,,,,,
11,TEN,HOU,401772881,,,,,,,,,,,,
11,MIN,CHI,401772880,,,,,,,,,,,,
11,NYG,GB,401772883,,,,,,,,,,,,
11,PIT,CIN,401772774,,,,,,,,,,,,
11,JAX,LAC,401772775,,,,,,,,,,,,
11,LAR,SEA,401772884,,,,,,,,,,,,
11,ARI,SF,401772885,,,,,,,,,,,,
11,CLE,BAL,401772777,,,,,,,,,,,,
11,DEN,KC,401772778,,,,,,,,,,,,
11,PHI,DET,401772928,,,,,,,,,,,,
11,LV,DAL,401772819,,,,,,,,,,,,
12,HOU,BUF,401772946,,,,,,,,,,,,
12,CHI,PIT,401772780,,,,,,,,,,,,
12,CIN,NE,401772781,,,,,,,,,,,,
12,DET,NYG,401772888,,,,,,,,,,,,
12,GB,MIN,401772887,,,,,,,,,,,,
12,TEN,SEA,401772886,,,,,,,,,,,,
12,KC,IND,401772779,,,,,,,,,,,,
12,BAL,NYJ,401772782,,,,,,,,,,,,
12,LV,CLE,401772784,,,,,,,,,,,,
12,ARI,JAX,401772783,,,,,,,,,,,,
12,DAL,PHI,401772890,,,,,,,,,,,,
12,NO,ATL,401772889,,,,,,,,,,,,
12,LAR,TB,401772929,,,,,,,,,,,,
12,SF,CAR,401772820,,,,,,,,,,,,
13,DET,GB,401772891,,,,,,,,,,,,
13,DAL,KC,401772694,,,,,,,,,,,,
13,BAL,CIN,401772930,,,,,,,,,,,,
13,PHI,CHI,401772621,,,,,,,,,,,,
13,CLE,SF,401772785,,,,,,,,,,,,
13,TEN,JAX,401772786,,,,,,,,,,,,
13,IND,HOU,401772787,,,,,,,,,,,,
13,MIA,NO,401772892,,,,,,,,,,,,
13,NYJ,ATL,401772893,,,,,,,,,,,,
13,TB,ARI,401772895,,,,,,,,,,,,
13,CAR,LAR,401772894,,,,,,,,,,,,
13,SEA,MIN,401772896,,,,,,,,,,,,
13,PIT,BUF,401772789,,,,,,,,,,,,
13,LAC,LV,401772788,,,,,,,,,,,,
13,WSH,DEN,401772931,,,,,,,,,,,,
13,NE,NYG,401772821,,,,,,,,,,,,
14,DET,DAL,401772947,,,,,,,,,,,,
14,ATL,SEA,401772900,,,,,,,,,,,,
14,CLE,TEN,401772898,,,,,,,,,,,,
14,GB,CHI,401772897,,,,,,,,,,,,
14,MIN,WSH,401772899,,,,,,,,,,,,
14,NYJ,MIA,401772790,,,,,,,,,,,,
14,TB,NO,401772792,,,,,,,,,,,,
14,JAX,IND,401772793,,,,,,,,,,,,
14,BAL,PIT,401772791,,,,,,,,,,,,
14,LV,DEN,401772794,,,,,,,,,,,,
14,BUF,CIN,401772902,,,,,,,,,,,,
14,ARI,LAR,401772901,,,,,,,,,,,,
14,KC,HOU,401772932,,,,,,,,,,,,
14,LAC,PHI,401772822,,,,,,,,,,,,
15,TB,ATL,401772948,,,,,,,,,,,,
15,CHI,CLE,401772904,,,,,,,,,,,,
15,CIN,BAL,401772796,,,,,,,,,,,,
15,KC,LAC,401772798,,,,,,,,,,,,
15,NE,BUF,401772795,,,,,,,,,,,,
15,NYG,WSH,401772905,,,,,,,,,,,,
15,PHI,LV,401772906,,,,,,,,,,,,
15,JAX,NYJ,401772797,,,,,,,,,,,,
15,HOU,ARI,401772903,,,,,,,,,,,,
15,DEN,GB,401772800,,,,,,,,,,,,
15,LAR,DET,401772909,,,,,,,,,,,,
15,NO,CAR,401772908,,,,,,,,,,,,
15,SF,TEN,401772907,,,,,,,,,,,,
15,SEA,IND,401772799,,,,,,,,,,,,
15,DAL,MIN,401772933,,,,,,,,,,,,
15,PIT,MIA,401772823,,,,,,,,,,,,
16,SEA,LAR,401772949,,,,,,,,,,,,
16,CHI,GB,401772613,,,,,,,,,,,,
16,WSH,PHI,401772612,,,,,,,,,,,,
16,CLE,BUF,401772802,,,,,,,,,,,,
16,DAL,LAC,401772910,,,,,,,,,,,,
16,TEN,KC,401772803,,,,,,,,,,,,
16,NO,NYJ,401772801,,,,,,,,,,,,
16,NYG,MIN,401772911,,,,,,,,,,,,
16,CAR,TB,401772912,,,,,,,,,,,,
16,BAL,NE,401772804,,,,,,,,,,,,
16,DEN,JAX,401772913,,,,,,,,,,,,
16,ARI,ATL,401772914,,,,,,,,,,,,
16,DET,PIT,401772806,,,,,,,,,,,,
16,HOU,LV,401772805,,,,,,,,,,,,
16,MIA,CIN,401772934,,,,,,,,,,,,
16,IND,SF,401772824,,,,,,,,,,,,
17,WSH,DAL,401772710,,,,,,,,,,,,
17,MIN,DET,401772711,,,,,,,,,,,,
17,KC,DEN,401772622,,,,,,,,,,,,
17,CLE,PIT,401772807,,,,,,,,,,,,
17,TEN,NO,401772809,,,,,,,,,,,,
17,IND,JAX,401772915,,,,,,,,,,,,
17,MIA,TB,401772916,,,,,,,,,,,,
17,NYJ,NE,401772808,,,,,,,,,,,,
17,BUF,PHI,401772917,,,,,,,,,,,,
17,SF,CHI,401772935,,,,,,,,,,,,
17,ATL,LAR,401772825,,,,,,,,,,,,
17,CIN,ARI,401772954,,,,,,,,,,,,
17,GB,BAL,401772953,,,,,,,,,,,,
17,LV,NYG,401772950,,,,,,,,,,,,
17,LAC,HOU,401772951,,,,,,,,,,,,
17,CAR,SEA,401772952,,,,,,,,,,,,
18,ATL,NO,401772966,,,,,,,,,,,,
18,BUF,NYJ,401772967,,,,,,,,,,,,
18,CHI,DET,401772965,,,,,,,,,,,,
18,CIN,CLE,401772964,,,,,,,,,,,,
