proposition_id,home_line,prop_name,game_id,outcome_1_id,outcome_1_abbr,outcome_2_id,outcome_2_abbr
19d5a0a0-138a-11ef-95b6-af3fb566f45b,-4.5,WSH @ TB,401671770,19d5a0a1-138a-11ef-95b6-af3fb566f45b,WSH,19d5a0a2-138a-11ef-95b6-af3fb566f45b,TB
1b759500-138a-11ef-95b6-af3fb566f45b,-3.5,ARI @ MIA,401671850,1b759501-138a-11ef-95b6-af3fb566f45b,ARI,1b759502-138a-11ef-95b6-af3fb566f45b,MIA
1d9bf770-138a-11ef-99c0-11d412694269,,ATL @ WSH,401671842,1d9bf771-138a-11ef-99c0-11d412694269,ATL,1d9bf772-138a-11ef-99c0-11d412694269,WSH
1b782d10-138a-11ef-95b6-af3fb566f45b,-7.5,CAR @ DEN,401671600,1b782d11-138a-11ef-95b6-af3fb566f45b,CAR,1b782d12-138a-11ef-95b6-af3fb566f45b,DEN
1d28c340-138a-11ef-95b6-af3fb566f45b,,IND @ DEN,401671669,1d28c341-138a-11ef-95b6-af3fb566f45b,IND,1d28c342-138a-11ef-95b6-af3fb566f45b,DEN
1bee6e80-138a-11ef-95b6-af3fb566f45b,-9.5,DEN @ KC,401671637,1bee6e81-138a-11ef-95b6-af3fb566f45b,DEN,1bee6e82-138a-11ef-95b6-af3fb566f45b,KC
1cf04e20-138a-11ef-99c0-11d412694269,,CHI @ SF,401671774,1cf04e21-138a-11ef-99c0-11d412694269,CHI,1cf04e22-138a-11ef-99c0-11d412694269,SF
1a8dcd10-138a-11ef-9421-4b5b2bd2cbe8,-6.5,DEN @ NYJ,401671622,1a8dcd11-138a-11ef-9421-4b5b2bd2cbe8,DEN,1a8dcd12-138a-11ef-9421-4b5b2bd2cbe8,NYJ
1a1e9080-138a-11ef-9421-4b5b2bd2cbe8,-6.5,TB @ DET,401671721,1a1e9081-138a-11ef-9421-4b5b2bd2cbe8,TB,1a1e9082-138a-11ef-9421-4b5b2bd2cbe8,DET
1a901700-138a-11ef-9421-4b5b2bd2cbe8,7.5,KC @ LAC,401671674,1a901701-138a-11ef-9421-4b5b2bd2cbe8,KC,1a901702-138a-11ef-9421-4b5b2bd2cbe8,LAC
1a2176b0-138a-11ef-9421-4b5b2bd2cbe8,2.5,PIT @ DEN,401671668,1a2176b1-138a-11ef-9421-4b5b2bd2cbe8,PIT,1a2176b2-138a-11ef-9421-4b5b2bd2cbe8,DEN
1d9df340-138a-11ef-99c0-11d412694269,,DAL @ PHI,401671765,1d9df341-138a-11ef-99c0-11d412694269,DAL,1d9df342-138a-11ef-99c0-11d412694269,PHI
1cef8ad0-138a-11ef-99c0-11d412694269,,SEA @ ARI,401671660,1cef8ad1-138a-11ef-99c0-11d412694269,SEA,1cef8ad2-138a-11ef-99c0-11d412694269,ARI
1acb2430-138a-11ef-99c0-11d412694269,-3.5,CAR @ CHI,401671872,1acb2431-138a-11ef-99c0-11d412694269,CAR,1acb2432-138a-11ef-99c0-11d412694269,CHI
1c37faa0-138a-11ef-9421-4b5b2bd2cbe8,-1.5,CLE @ NO,401671746,1c37faa1-138a-11ef-9421-4b5b2bd2cbe8,CLE,1c37faa2-138a-11ef-9421-4b5b2bd2cbe8,NO
1d5d19b0-138a-11ef-9421-4b5b2bd2cbe8,,NYG @ ATL,401671729,1d5d19b1-138a-11ef-9421-4b5b2bd2cbe8,NYG,1d5d19b2-138a-11ef-9421-4b5b2bd2cbe8,ATL
1ca4ed40-138a-11ef-9421-4b5b2bd2cbe8,,MIA @ GB,401671798,1ca4ed41-138a-11ef-9421-4b5b2bd2cbe8,MIA,1ca4ed42-138a-11ef-9421-4b5b2bd2cbe8,GB
1bb5d250-138a-11ef-9421-4b5b2bd2cbe8,6.5,NO @ CAR,401671650,1bb5d251-138a-11ef-9421-4b5b2bd2cbe8,NO,1bb5d252-138a-11ef-9421-4b5b2bd2cbe8,CAR
19d5eec0-138a-11ef-95b6-af3fb566f45b,-3.5,LAR @ DET,401671792,19d5eec1-138a-11ef-95b6-af3fb566f45b,LAR,19d5eec2-138a-11ef-95b6-af3fb566f45b,DET
1c3848c0-138a-11ef-9421-4b5b2bd2cbe8,3.5,BAL @ PIT,401671630,1c3848c1-138a-11ef-9421-4b5b2bd2cbe8,BAL,1c3848c2-138a-11ef-9421-4b5b2bd2cbe8,PIT
1cf09c40-138a-11ef-99c0-11d412694269,,LAC @ KC,401671788,1cf09c41-138a-11ef-99c0-11d412694269,LAC,1cf09c42-138a-11ef-99c0-11d412694269,KC
1bef58e0-138a-11ef-95b6-af3fb566f45b,-2.5,PIT @ WSH,401671641,1bef58e1-138a-11ef-95b6-af3fb566f45b,PIT,1bef58e2-138a-11ef-95b6-af3fb566f45b,WSH
1a8eb770-138a-11ef-9421-4b5b2bd2cbe8,-6.5,JAX @ HOU,401671857,1a8eb771-138a-11ef-9421-4b5b2bd2cbe8,JAX,1a8eb772-138a-11ef-9421-4b5b2bd2cbe8,HOU
1a21c4d0-138a-11ef-9421-4b5b2bd2cbe8,-5.5,CIN @ KC,401671670,1a21c4d1-138a-11ef-9421-4b5b2bd2cbe8,CIN,1a21c4d2-138a-11ef-9421-4b5b2bd2cbe8,KC
1a910160-138a-11ef-9421-4b5b2bd2cbe8,-4.5,SEA @ DET,401671491,1a910161-138a-11ef-9421-4b5b2bd2cbe8,SEA,1a910162-138a-11ef-9421-4b5b2bd2cbe8,DET
1d9da520-138a-11ef-99c0-11d412694269,,TEN @ JAX,401671634,1d9da521-138a-11ef-99c0-11d412694269,TEN,1d9da522-138a-11ef-99c0-11d412694269,JAX
1acad610-138a-11ef-99c0-11d412694269,-2.5,NYJ @ MIN,401671804,1acad611-138a-11ef-99c0-11d412694269,NYJ,1acad612-138a-11ef-99c0-11d412694269,MIN
1b054700-138a-11ef-95b6-af3fb566f45b,6.5,ATL @ CAR,401671769,1b054701-138a-11ef-95b6-af3fb566f45b,ATL,1b054702-138a-11ef-95b6-af3fb566f45b,CAR
1dd81610-138a-11ef-9421-4b5b2bd2cbe8,,NYG @ PHI,401671841,1dd81611-138a-11ef-9421-4b5b2bd2cbe8,NYG,1dd81612-138a-11ef-9421-4b5b2bd2cbe8,PHI
1a8bd140-138a-11ef-9421-4b5b2bd2cbe8,4.5,DAL @ NYG,401671812,1a8bd141-138a-11ef-9421-4b5b2bd2cbe8,DAL,1a8bd142-138a-11ef-9421-4b5b2bd2cbe8,NYG
1d5ccb90-138a-11ef-9421-4b5b2bd2cbe8,,PIT @ BAL,401671778,1d5ccb91-138a-11ef-9421-4b5b2bd2cbe8,PIT,1d5ccb92-138a-11ef-9421-4b5b2bd2cbe8,BAL
1b034b30-138a-11ef-95b6-af3fb566f45b,2.5,TB @ NO,401671735,1b034b31-138a-11ef-95b6-af3fb566f45b,TB,1b034b32-138a-11ef-95b6-af3fb566f45b,NO
19d15ae0-138a-11ef-95b6-af3fb566f45b,-2.5,BAL @ KC,401671789,19d15ae1-138a-11ef-95b6-af3fb566f45b,BAL,19d15ae2-138a-11ef-95b6-af3fb566f45b,KC
19d63ce0-138a-11ef-95b6-af3fb566f45b,-6.5,NYJ @ SF,401671696,19d63ce1-138a-11ef-95b6-af3fb566f45b,NYJ,19d63ce2-138a-11ef-95b6-af3fb566f45b,SF
1b763140-138a-11ef-95b6-af3fb566f45b,-2.5,ATL @ TB,401671739,1b763141-138a-11ef-95b6-af3fb566f45b,ATL,1b763142-138a-11ef-95b6-af3fb566f45b,TB
1ca53b60-138a-11ef-9421-4b5b2bd2cbe8,,LV @ KC,401671806,1ca53b61-138a-11ef-9421-4b5b2bd2cbe8,LV,1ca53b62-138a-11ef-9421-4b5b2bd2cbe8,KC
1bb62070-138a-11ef-9421-4b5b2bd2cbe8,-9.5,DEN @ BAL,401671623,1bb62071-138a-11ef-9421-4b5b2bd2cbe8,DEN,1bb62072-138a-11ef-9421-4b5b2bd2cbe8,BAL
1cf0ea60-138a-11ef-99c0-11d412694269,,CIN @ DAL,401671690,1cf0ea61-138a-11ef-99c0-11d412694269,CIN,1cf0ea62-138a-11ef-99c0-11d412694269,DAL
1bef0ac0-138a-11ef-95b6-af3fb566f45b,5.5,SF @ TB,401671742,1bef0ac1-138a-11ef-95b6-af3fb566f45b,SF,1bef0ac2-138a-11ef-95b6-af3fb566f45b,TB
1a8e6950-138a-11ef-9421-4b5b2bd2cbe8,4.5,CIN @ CAR,401671745,1a8e6951-138a-11ef-9421-4b5b2bd2cbe8,CIN,1a8e6952-138a-11ef-9421-4b5b2bd2cbe8,CAR
1a1f2cc0-138a-11ef-9421-4b5b2bd2cbe8,3.5,NYJ @ TEN,401671636,1a1f2cc1-138a-11ef-9421-4b5b2bd2cbe8,NYJ,1a1f2cc2-138a-11ef-9421-4b5b2bd2cbe8,TEN
