week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
3,ATL,KC,401671793,1a58da60-138a-11ef-99c0-11d412694269,KC,17,22,3.5,KC,KC,ATL,KC,,
3,BUF,JAX,401671682,1a592880-138a-11ef-99c0-11d412694269,BUF,47,10,-5.5,BUF,BUF,BUF,BUF,,
3,CIN,WSH,401671490,1a599db0-138a-11ef-99c0-11d412694269,WSH,33,38,-7.5,WSH,CIN,WSH,WSH,,
4,NYG,DAL,401671812,1a8bd140-138a-11ef-9421-4b5b2bd2cbe8,DAL,15,20,4.5,DAL,,,DAL,,
4,ATL,NO,401671727,1a8c9490-138a-11ef-9421-4b5b2bd2cbe8,ATL,26,24,-1.5,NO,NO,,NO,,
4,CHI,LAR,401671871,1a8ce2b0-138a-11ef-9421-4b5b2bd2cbe8,CHI,24,18,-2.5,LAR,CHI,,LAR,,
4,GB,MIN,401671643,1a8d30d0-138a-11ef-9421-4b5b2bd2cbe8,MIN,29,31,-2.5,GB,GB,,MIN,,
4,IND,PIT,401671867,1a8d7ef0-138a-11ef-9421-4b5b2bd2cbe8,IND,27,24,1.5,IND,PIT,,PIT,,
4,NYJ,DEN,401671622,1a8dcd10-138a-11ef-9421-4b5b2bd2cbe8,DEN,9,10,-6.5,NYJ,DEN,,NYJ,,
4,TB,PHI,401671740,1a8e1b30-138a-11ef-9421-4b5b2bd2cbe8,TB,33,16,2.5,PHI,PHI,,TB,,
4,CAR,CIN,401671745,1a8e6950-138a-11ef-9421-4b5b2bd2cbe8,CIN,24,34,4.5,CIN,CIN,,CIN,,
4,HOU,JAX,401671857,1a8eb770-138a-11ef-9421-4b5b2bd2cbe8,JAX,24,20,-6.5,HOU,HOU,,,,
4,ARI,WSH,401671755,1a8f0590-138a-11ef-9421-4b5b2bd2cbe8,WSH,14,42,-3.5,ARI,ARI,,WSH,,
4,SF,NE,401671758,1a8f7ac0-138a-11ef-9421-4b5b2bd2cbe8,SF,30,13,-9.5,SF,SF,,NE,,
4,LV,CLE,401671672,1a8fc8e0-138a-11ef-9421-4b5b2bd2cbe8,LV,20,16,-1.5,LV,LV,,CLE,,
4,LAC,KC,401671674,1a901700-138a-11ef-9421-4b5b2bd2cbe8,LAC,10,17,7.5,KC,LAC,,KC,,
4,BAL,BUF,401671783,1a906520-138a-11ef-9421-4b5b2bd2cbe8,BAL,35,10,-2.5,BUF,BUF,,BUF,,
4,MIA,TEN,401671683,1a90b340-138a-11ef-9421-4b5b2bd2cbe8,TEN,12,31,0.5,MIA,TEN,,MIA,,
4,DET,SEA,401671491,1a910160-138a-11ef-9421-4b5b2bd2cbe8,DET,42,29,-4.5,DET,DET,,SEA,,
5,ATL,TB,401671815,1ac9ebb0-138a-11ef-99c0-11d412694269,ATL,36,30,-1.5,,TB,ATL,,,
5,MIN,NYJ,401671804,1acad610-138a-11ef-99c0-11d412694269,MIN,23,17,-2.5,,MIN,MIN,MIN,,
5,CHI,CAR,401671872,1acb2430-138a-11ef-99c0-11d412694269,CHI,36,10,-3.5,CHI,CHI,CHI,CHI,,
5,CIN,BAL,401671626,1acb7250-138a-11ef-99c0-11d412694269,BAL,38,41,2.5,BAL,BAL,CIN,BAL,,
5,NE,MIA,401671700,1acb9960-138a-11ef-99c0-11d412694269,MIA,10,15,-1.5,MIA,NE,NE,MIA,,
5,WSH,CLE,401671718,1acc0e90-138a-11ef-99c0-11d412694269,WSH,34,13,-3.5,WSH,WSH,WSH,WSH,,
5,JAX,IND,401671633,1acc35a0-138a-11ef-99c0-11d412694269,JAX,37,34,-2.5,JAX,IND,JAX,IND,,
5,HOU,BUF,401671859,1acc83c0-138a-11ef-99c0-11d412694269,HOU,23,20,-1.5,BUF,BUF,BUF,BUF,,
5,DEN,LV,401671747,1accd1e0-138a-11ef-99c0-11d412694269,DEN,34,18,-2.5,DEN,LV,DEN,DEN,,
5,SF,ARI,401671756,1acd2000-138a-11ef-99c0-11d412694269,ARI,23,24,-7.5,SF,SF,SF,SF,,
5,LAR,GB,401671679,1acd6e20-138a-11ef-99c0-11d412694269,GB,19,24,3.5,LAR,GB,LAR,GB,,
5,SEA,NYG,401671680,1acde350-138a-11ef-99c0-11d412694269,NYG,20,29,-6.5,SEA,SEA,SEA,SEA,,
5,PIT,DAL,401671784,1ace3170-138a-11ef-99c0-11d412694269,DAL,17,20,-2.5,PIT,DAL,PIT,DAL,,
5,KC,NO,401671687,1ace7f90-138a-11ef-99c0-11d412694269,KC,26,13,-5.5,KC,KC,KC,KC,,
6,SEA,SF,401671819,1b010140-138a-11ef-95b6-af3fb566f45b,SF,24,36,3.5,SEA,SEA,SEA,SEA,,
6,CHI,JAX,401671802,1b01c490-138a-11ef-95b6-af3fb566f45b,CHI,35,16,-2.5,CHI,CHI,CHI,CHI,,
6,GB,ARI,401671722,1b0212b0-138a-11ef-95b6-af3fb566f45b,GB,34,13,-4.5,ARI,GB,GB,GB,,
6,TEN,IND,401671820,1b0287e0-138a-11ef-95b6-af3fb566f45b,IND,17,20,0.5,IND,IND,TEN,IND,,
6,NE,HOU,401671619,1b02d600-138a-11ef-95b6-af3fb566f45b,HOU,21,41,6.5,HOU,HOU,HOU,HOU,,
6,NO,TB,401671735,1b034b30-138a-11ef-95b6-af3fb566f45b,TB,27,51,2.5,TB,NO,NO,TB,,
6,PHI,CLE,401671714,1b039950-138a-11ef-95b6-af3fb566f45b,CLE,20,16,-8.5,PHI,PHI,PHI,PHI,,
6,BAL,WSH,401671625,1b043590-138a-11ef-95b6-af3fb566f45b,BAL,30,23,-6.5,WSH,BAL,BAL,WSH,,
6,DEN,LAC,401671655,1b0483b0-138a-11ef-95b6-af3fb566f45b,LAC,16,23,2.5,DEN,DEN,DEN,DEN,,
6,LV,PIT,401671657,1b04d1d0-138a-11ef-95b6-af3fb566f45b,PIT,13,32,2.5,PIT,LV,LV,PIT,,
6,DAL,DET,401671764,1b04f8e0-138a-11ef-95b6-af3fb566f45b,DET,9,47,3.5,DAL,DAL,DAL,DAL,,
6,CAR,ATL,401671769,1b054700-138a-11ef-95b6-af3fb566f45b,ATL,20,38,6.5,ATL,ATL,ATL,ATL,,
6,NYG,CIN,401671791,1b059520-138a-11ef-95b6-af3fb566f45b,CIN,7,17,3.5,CIN,CIN,NYG,NYG,,
6,NYJ,BUF,401671684,1b05e340-138a-11ef-95b6-af3fb566f45b,BUF,20,23,2.5,BUF,BUF,BUF,BUF,,
7,NO,DEN,401671816,1b392841-138a-11ef-99c0-11d412694269,DEN,10,33,1.5,NO,DEN,NO,DEN,,
7,JAX,NE,401671801,1b39eb90-138a-11ef-99c0-11d412694269,JAX,32,16,-5.5,JAX,NE,JAX,NE,,
7,ATL,SEA,401671730,1b3a39b0-138a-11ef-99c0-11d412694269,SEA,14,34,-3.5,ATL,ATL,ATL,SEA,,
7,BUF,TEN,401671616,1b3a87d0-138a-11ef-99c0-11d412694269,BUF,34,10,-8.5,BUF,BUF,BUF,BUF,,
7,CLE,CIN,401671853,1b3ad5f0-138a-11ef-99c0-11d412694269,CIN,14,21,4.5,CIN,CIN,CLE,CIN,,
7,GB,HOU,401671644,1b3b4b20-138a-11ef-99c0-11d412694269,HOU,24,22,-2.5,GB,GB,GB,HOU,,
7,IND,MIA,401671864,1b3b9940-138a-11ef-99c0-11d412694269,IND,16,10,-3.5,IND,IND,IND,MIA,,
