week,home_team,away_team,game_id,proposition_id,correct_outcome_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick
9,CIN,LV,,,,,,,,,,,
9,CLE,LAC,,,,,,,,,,,
9,TEN,NE,,,,,,,,,,,
9,NYG,WSH,,,,,,,,,,,
9,CAR,NO,,,,,,,,,,,
9,BAL,DEN,,,,,,,,,,,
9,PHI,JAX,,,,,,,,,,,
9,ARI,CHI,,,,,,,,,,,
9,GB,DET,,,,,,,,,,,
9,SEA,LAR,,,,,,,,,,,
9,MIN,IND,,,,,,,,,,,
9,KC,TB,,,,,,,,,,,
10,BAL,CIN,,,,,,,,,,,
10,CAR,NYG,,,,,,,,,,,
10,CHI,NE,,,,,,,,,,,
10,IND,BUF,,,,,,,,,,,
10,KC,DEN,,,,,,,,,,,
10,NO,ATL,,,,,,,,,,,
10,TB,SF,,,,,,,,,,,
10,WSH,PIT,,,,,,,,,,,
10,JAX,MIN,,,,,,,,,,,
10,LAC,TEN,,,,,,,,,,,
10,DAL,PHI,,,,,,,,,,,
10,ARI,NYJ,,,,,,,,,,,
10,HOU,DET,,,,,,,,,,,
10,LAR,MIA,,,,,,,,,,,
11,PHI,WSH,,,,,,,,,,,
11,CHI,GB,,,,,,,,,,,
11,DET,JAX,,,,,,,,,,,
11,TEN,MIN,,,,,,,,,,,
11,MIA,LV,,,,,,,,,,,
11,NE,LAR,,,,,,,,,,,
11,NO,CLE,,,,,,,,,,,
11,PIT,BAL,,,,,,,,,,,
11,DEN,ATL,,,,,,,,,,,
11,SF,SEA,,,,,,,,,,,
11,BUF,KC,,,,,,,,,,,
11,LAC,CIN,,,,,,,,,,,
11,NYJ,IND,,,,,,,,,,,
11,DAL,HOU,,,,,,,,,,,
12,CLE,PIT,,,,,,,,,,,
12,CHI,MIN,,,,,,,,,,,
12,IND,DET,,,,,,,,,,,
12,MIA,NE,,,,,,,,,,,
12,NYG,TB,,,,,,,,,,,
12,WSH,DAL,,,,,,,,,,,
12,CAR,KC,,,,,,,,,,,
12,HOU,TEN,,,,,,,,,,,
12,LV,DEN,,,,,,,,,,,
12,GB,SF,,,,,,,,,,,
12,SEA,ARI,,,,,,,,,,,
12,LAR,PHI,,,,,,,,,,,
12,LAC,BAL,,,,,,,,,,,
13,DET,CHI,,,,,,,,,,,
13,DAL,NYG,,,,,,,,,,,
13,GB,MIA,,,,,,,,,,,
13,KC,LV,,,,,,,,,,,
13,ATL,LAC,,,,,,,,,,,
13,CIN,PIT,,,,,,,,,,,
13,MIN,ARI,,,,,,,,,,,
13,NE,IND,,,,,,,,,,,
13,NYJ,SEA,,,,,,,,,,,
13,WSH,TEN,,,,,,,,,,,
13,JAX,HOU,,,,,,,,,,,
13,NO,LAR,,,,,,,,,,,
13,CAR,TB,,,,,,,,,,,
13,BAL,PHI,,,,,,,,,,,
13,BUF,SF,,,,,,,,,,,
13,DEN,CLE,,,,,,,,,,,
14,DET,GB,,,,,,,,,,,
14,TEN,JAX,,,,,,,,,,,
14,MIA,NYJ,,,,,,,,,,,
14,MIN,ATL,,,,,,,,,,,
14,NYG,NO,,,,,,,,,,,
14,PHI,CAR,,,,,,,,,,,
14,PIT,CLE,,,,,,,,,,,
14,TB,LV,,,,,,,,,,,
14,ARI,SEA,,,,,,,,,,,
14,LAR,BUF,,,,,,,,,,,
14,SF,CHI,,,,,,,,,,,
14,KC,LAC,,,,,,,,,,,
14,DAL,CIN,,,,,,,,,,,
15,SF,LAR,,,,,,,,,,,
15,CLE,KC,,,,,,,,,,,
15,TEN,CIN,,,,,,,,,,,
15,NO,WSH,,,,,,,,,,,
15,NYG,BAL,,,,,,,,,,,
15,CAR,DAL,,,,,,,,,,,
15,JAX,NYJ,,,,,,,,,,,
15,HOU,MIA,,,,,,,,,,,
15,DEN,IND,,,,,,,,,,,
15,DET,BUF,,,,,,,,,,,
15,PHI,PIT,,,,,,,,,,,
15,ARI,NE,,,,,,,,,,,
15,LAC,TB,,,,,,,,,,,
15,SEA,GB,,,,,,,,,,,
15,MIN,CHI,,,,,,,,,,,
15,LV,ATL,,,,,,,,,,,
16,CIN,CLE,,,,,,,,,,,
16,KC,HOU,,,,,,,,,,,
16,BAL,PIT,,,,,,,,,,,
16,ATL,NYG,,,,,,,,,,,
16,BUF,NE,,,,,,,,,,,
16,CHI,DET,,,,,,,,,,,
16,IND,TEN,,,,,,,,,,,
16,NYJ,LAR,,,,,,,,,,,
16,WSH,PHI,,,,,,,,,,,
16,CAR,ARI,,,,,,,,,,,
16,LAC,DEN,,,,,,,,,,,
16,SEA,MIN,,,,,,,,,,,
16,LV,JAX,,,,,,,,,,,
16,MIA,SF,,,,,,,,,,,
16,DAL,TB,,,,,,,,,,,
16,GB,NO,,,,,,,,,,,
17,PIT,KC,,,,,,,,,,,
17,HOU,BAL,,,,,,,,,,,
17,CHI,SEA,,,,,,,,,,,
17,BUF,NYJ,,,,,,,,,,,
17,MIN,GB,,,,,,,,,,,
17,NO,LV,,,,,,,,,,,
17,TB,CAR,,,,,,,,,,,
17,JAX,TEN,,,,,,,,,,,
17,PHI,DAL,,,,,,,,,,,
17,CLE,MIA,,,,,,,,,,,
17,SF,DET,,,,,,,,,,,
17,CIN,DEN,,,,,,,,,,,
17,LAR,ARI,,,,,,,,,,,
17,NE,LAC,,,,,,,,,,,
17,NYG,IND,,,,,,,,,,,
17,WSH,ATL,,,,,,,,,,,
18,ATL,CAR,,,,,,,,,,,
18,DAL,WSH,,,,,,,,,,,
18,DEN,KC,,,,,,,,,,,
18,DET,MIN,,,,,,,,,,,
18,GB,CHI,,,,,,,,,,,
18,TEN,HOU,,,,,,,,,,,
18,IND,JAX,,,,,,,,,,,
18,LV,LAC,,,,,,,,,,,
18,LAR,SEA,,,,,,,,,,,
18,NE,BUF,,,,,,,,,,,
18,NYJ,MIA,,,,,,,,,,,
18,PHI,NYG,,,,,,,,,,,
18,ARI,SF,,,,,,,,,,,
18,PIT,CIN,,,,,,,,,,,
18,TB,NO,,,,,,,,,,,
18,BAL,CLE,,,,,,,,,,,
